State,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Kansas,2022,7.067497403946002,14.503481265852953,27.377696065914236,-0.5485517553870342,-3.319424403106961,1.8668777556474816,9.05143734248622,4.827643125890202,0.4449195823303236,7.593143012784502,4.724936500821754,8.946257426416764,14.892950281399584,5.249340346934954,73.13017721260405,5.027526684030438,12.997157108080962,0.4107723473435133,90.9489029978882,1.9810677158225942,2937150
Kentucky,2011,3.214043442557667,14.420088452394358,28.5625616223535,-0.3591378959291288,4.801171825216121,4.891041151144471,11.491901964794687,9.822358734407649,0.25186042921677787,7.013001458338483,4.318200026142799,10.592590761659155,15.290126187790927,11.32922105683309,86.0776508025439,7.852759079370049,3.0097799309555002,0.1764333233547461,69.55141904160533,1.7766620378510334,4369356
Kentucky,2012,3.1369402214173774,14.887950114315654,30.37986126885238,0.1288466705839455,4.310170520707613,4.379585039317051,11.702257288207878,9.909057037944843,0.255965081902101,7.006824695833613,4.290747054771227,10.61714472258907,15.292654026722687,10.884927569648081,85.84351026101407,7.763100071568561,3.0598698981717485,0.15900319946854352,69.55141904160533,1.7835277480310532,4380415
Kentucky,2013,3.390352638446339,15.461578801877918,30.03468481637751,0.2557455665444983,3.596685278303561,3.9362545631180614,11.409965742722747,9.675408926826151,0.2586346225080173,6.990884570887733,4.072378760423555,10.567368060619367,15.29604520857809,10.687496516161032,85.67167846526797,7.8701884628904315,3.2555493999833915,0.143539853411432,69.55141904160533,1.8041571906570208,4395295
Kentucky,2014,3.6714983288610266,15.73208938027492,31.281260925392502,0.5737668493685762,2.9433625474706924,3.582407169708462,11.087183297178777,9.503274937006962,0.263346980381549,7.033851241781669,3.848870056497175,10.56305748532273,15.300168840560477,10.446210306342623,85.39861156458531,7.8257927968936825,3.2892582843788896,0.18314441491103234,69.66533379592475,2.6801822797112775,4413457
Kentucky,2015,3.5555418960780925,15.06630822590807,31.631025976409077,0.41716422868050884,2.1481295668081333,3.023937129442732,11.005216272532758,9.228292335016153,0.2673160805283117,6.941437601749296,4.272426691603767,10.955365447769221,15.30280162716849,10.032876152631403,85.15348381457379,7.936377367973367,3.3022364280787837,0.168900443199825,71.5809291398045,1.8039684925951305,4425092
Kentucky,2016,3.515098353066752,15.470363360254083,30.619088595065016,0.3657137887601391,2.075401930967527,2.8099556138936133,11.52496410910831,9.12740597052115,0.27170793082246214,7.023638182238616,5.155005000161295,10.74148732897691,15.305483170528687,9.656581264618634,84.87207723101375,8.123284021948292,3.4239551550223193,0.24097504290085991,77.75119840065761,1.8260982962159997,4436974
Kentucky,2017,3.796089478915241,15.33789877349165,30.412000927666067,0.2838716128468801,1.1061963946321516,2.587923413218433,10.819670800691465,8.46342738751816,0.2758114141807665,6.922068192436378,4.123284894663473,10.645327353643951,15.309355559666564,9.260630835377663,84.63931368875456,7.988637213194141,3.4835297738825184,0.15450624120350528,79.16029481158053,1.8539530235346087,4454189
Kentucky,2018,3.7898559708817605,15.005946197320652,30.160379482418993,0.12775022408279513,0.8134659984634971,2.4590222634400396,10.810099537546034,8.281752373301291,0.27823918145870985,6.835620429853895,4.134612067478525,10.392283415860973,15.312541408266233,8.97555770496925,84.50571367571673,7.822528053653185,3.614401748096971,0.1539252735094112,82.05230756622707,1.8703755324742182,4468402
Kentucky,2019,4.400904005284183,14.080596319381478,29.920542528515405,-0.22289630228858484,0.4038360841265662,2.2503213641642974,10.907160159475552,7.644052948078952,0.28259720310177583,6.745860764653099,4.897026894742787,10.786890625164375,15.312378249384595,8.74399267806753,84.22055508538784,8.008397212598146,3.760727340608858,0.1543085181032721,83.37669808752857,1.876746694176123,4467673
