Year,DMA,GT MVT
2016,Portland-Auburn ME,14.58
2016,Providence RI-New Bedford MA,46.67
2016,Raleigh-Durham (Fayetteville) NC,37.03
2016,Reno NV,69.7
2016,Richmond-Petersburg VA,40.45
2016,Roanoke-Lynchburg VA,46.79
2016,Rochester MN-Mason City IA-Austin MN,20.0
2016,Rochester NY,37.55
2016,Rockford IL,38.0
2016,Sacramento-Stockton-Modesto CA,87.36
2016,Salt Lake City UT,58.27
2016,San Antonio TX,62.64
2016,San Diego CA,80.42
2016,San Francisco-Oakland-San Jose CA,71.0
2016,Santa Barbara-Santa Maria-San Luis Obispo CA,60.06
2016,Savannah GA,48.27
2016,Seattle-Tacoma WA,82.27
2016,Shreveport LA,51.3
2016,Sioux Falls(Mitchell) SD,38.15
2016,South Bend-Elkhart IN,26.5
2016,Spokane WA,56.55
2016,Springfield MO,53.36
2016,Springfield-Holyoke MA,46.73
2016,St. Louis MO,59.61
2016,Syracuse NY,26.55
2016,Tallahassee FL-Thomasville GA,25.0
2016,Tampa-St. Petersburg (Sarasota) FL,63.7
2016,Toledo OH,28.73
2016,Topeka KS,40.5
2016,Tri-Cities TN-VA,24.5
2016,Tucson (Sierra Vista) AZ,57.24
2016,Tulsa OK,82.42
2016,Tyler-Longview(Lufkin & Nacogdoches) TX,22.5
2016,Waco-Temple-Bryan TX,40.45
2016,Washington DC (Hagerstown MD),45.88
2016,Wausau-Rhinelander WI,18.0
2016,West Palm Beach-Ft. Pierce FL,59.3
2016,Wichita-Hutchinson KS,51.97
2016,Wilkes Barre-Scranton PA,41.24
2016,Yakima-Pasco-Richland-Kennewick WA,66.61
2016,Youngstown OH,25.0
2017,Abilene-Sweetwater TX,40.13
2017,Albany-Schenectady-Troy NY,31.88
2017,Albuquerque-Santa Fe NM,73.84
2017,Amarillo TX,49.12
2017,Anchorage AK,79.0
2017,Atlanta GA,46.66
2017,Augusta GA,31.97
2017,Austin TX,37.66
2017,Bakersfield CA,100.0
2017,Baltimore MD,43.59
2017,Baton Rouge LA,30.62
2017,Beaumont-Port Arthur TX,51.0
2017,Biloxi-Gulfport MS,55.0
2017,Birmingham AL,38.69
2017,Boise ID,35.9
2017,Boston MA-Manchester NH,28.81
2017,Buffalo NY,26.84
2017,Burlington VT-Plattsburgh NY,26.53
2017,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,29.0
2017,Champaign & Springfield-Decatur IL,34.66
2017,Charleston SC,39.97
2017,Charleston-Huntington WV,33.81
2017,Charlotte NC,47.72
2017,Charlottesville VA,46.0
2017,Chattanooga TN,53.25
2017,Chicago IL,47.53
2017,Chico-Redding CA,47.5
2017,Cincinnati OH,38.34
2017,Clarksburg-Weston WV,95.0
2017,Cleveland-Akron (Canton) OH,39.22
2017,Colorado Springs-Pueblo CO,52.78
2017,Columbia SC,49.69
2017,Columbia-Jefferson City MO,50.5
2017,Columbus GA,32.0
2017,Columbus OH,37.91
2017,Columbus-Tupelo-West Point MS,51.5
2017,Corpus Christi TX,56.0
2017,Dallas-Ft. Worth TX,41.25
2017,Davenport IA-Rock Island-Moline IL,30.69
2017,Dayton OH,43.16
2017,Denver CO,49.66
2017,Des Moines-Ames IA,34.69
2017,Detroit MI,44.16
2017,Dothan AL,68.0
2017,Duluth MN-Superior WI,51.0
2017,El Paso TX,39.19
2017,Erie PA,44.0
